t,Ca,x
0,0.051245352,0.1
0.25,-0.124230209,0.1
0.5,-0.060391703,0.1
0.75,0.175025843,0.1
1,-0.091603068,0.1
1.25,0.11615364,0.1
1.5,-0.138249279,0.1
1.75,-0.096590551,0.1
2,-0.078939333,0.1
2.25,-0.073761946,0.1
2.5,-0.100542017,0.1
2.75,0.012006939,0.1
3,0.031438676,0.1
3.25,0.151578286,0.1
3.5,0.087231037,0.1
3.75,0.06510655,0.1
4,0.19044082,0.1
4.25,-0.023812961,0.1
4.5,-0.247715884,0.1
4.75,-0.125504975,0.1
5,0.061031272,0.1
5.25,-0.051871227,0.1
5.5,0.248405287,0.1
5.75,0.016112696,0.1
6,-0.084349131,0.1
6.25,0.07314246,0.1
6.5,0.240743096,0.1
6.75,0.002411009,0.1
7,-0.079405258,0.1
7.25,-0.145630245,0.1
7.5,-0.124677812,0.1
7.75,0.016634249,0.1
8,-0.106619405,0.1
8.25,0.024781344,0.1
8.5,0.158697031,0.1
8.75,0.049850477,0.1
9,-0.209820803,0.1
9.25,0.029503902,0.1
9.5,-0.031919314,0.1
9.75,-0.067556114,0.1
10,0.005668176,0.1
10.25,-0.091302915,0.1
10.5,-0.079182384,0.1
10.75,-0.166141368,0.1
11,-0.048035223,0.1
11.25,0.108364113,0.1
11.5,-0.086221029,0.1
11.75,0.10198028,0.1
12,0.111680934,0.1
12.25,0.134121539,0.1
12.5,0.069851471,0.1
12.75,-0.083236778,0.1
13,-0.153716852,0.1
13.25,0.001407448,0.1
13.5,-0.051365648,0.1
13.75,-0.216437943,0.1
14,-0.010501208,0.1
14.25,0.255326331,0.1
14.5,0.075051283,0.1
14.75,-0.002797292,0.1
15,-0.057464536,0.1
15.25,0.124683837,0.1
15.5,-0.063403228,0.1
15.75,0.065236866,0.1
16,-0.047701016,0.1
16.25,0.075687451,0.1
16.5,0.059456042,0.1
16.75,0.197185528,0.1
17,0.015502078,0.1
17.25,0.119144532,0.1
17.5,-0.015908163,0.1
17.75,0.041888447,0.1
18,-0.121022506,0.1
18.25,0.158263949,0.1
18.5,-0.03132655,0.1
18.75,0.115001197,0.1
19,-0.099146767,0.1
19.25,-0.03902489,0.1
19.5,0.090601417,0.1
19.75,0.005186053,0.1
20,-0.032658571,0.1
20.25,0.137432061,0.1
20.5,-0.141962275,0.1
20.75,-0.252627001,0.1
21,-0.210888543,0.1
21.25,0.058850526,0.1
21.5,-0.152918984,0.1
21.75,0.142827397,0.1
22,-0.00348442,0.1
22.25,-0.337050437,0.1
22.5,-0.054348698,0.1
22.75,0.005078487,0.1
23,0.102458668,0.1
23.25,-0.137532348,0.1
23.5,-0.092528996,0.1
23.75,-0.178704247,0.1
24,0.185293579,0.1
24.25,0.156417613,0.1
24.5,-0.076601794,0.1
24.75,0.218124812,0.1
25,0.024585946,0.1
25.25,0.236214802,0.1
