t,Cb,x
0,0.227807999,0.1
0.25,0.082099865,0.1
0.5,0.063098173,0.1
0.75,0.016263566,0.1
1,0.148471843,0.1
1.25,-0.127912151,0.1
1.5,0.123290077,0.1
1.75,0.178170813,0.1
2,-0.028115323,0.1
2.25,0.056090636,0.1
2.5,0.062599418,0.1
2.75,0.347524663,0.1
3,-0.109064646,0.1
3.25,-0.0263933,0.1
3.5,0.005295252,0.1
3.75,0.013158711,0.1
4,-0.003565702,0.1
4.25,0.061636875,0.1
4.5,0.12818621,0.1
4.75,0.126350815,0.1
5,-0.177345244,0.1
5.25,0.156380363,0.1
5.5,0.215085079,0.1
5.75,-0.188146782,0.1
6,-0.094941594,0.1
6.25,0.041857379,0.1
6.5,0.214154693,0.1
6.75,0.354869484,0.1
7,-0.271529617,0.1
7.25,-0.079460285,0.1
7.5,0.166355491,0.1
7.75,0.052026857,0.1
8,0.170681636,0.1
8.25,0.126779473,0.1
8.5,0.002450753,0.1
8.75,-0.11919306,0.1
9,-0.076337837,0.1
9.25,-0.348038504,0.1
9.5,-0.009294219,0.1
9.75,0.020320909,0.1
10,-0.142323857,0.1
10.25,-0.172081852,0.1
10.5,0.149810672,0.1
10.75,-0.055070092,0.1
11,0.022969694,0.1
11.25,-0.027990564,0.1
11.5,-0.052779634,0.1
11.75,-0.074547107,0.1
12,-0.066561329,0.1
12.25,0.129309761,0.1
12.5,0.111262308,0.1
12.75,0.154799524,0.1
13,-0.224234559,0.1
13.25,0.010627208,0.1
13.5,0.102771745,0.1
13.75,0.053559316,0.1
14,0.193311119,0.1
14.25,-0.096635815,0.1
14.5,-0.133077112,0.1
14.75,-0.075311068,0.1
15,-0.007594818,0.1
15.25,0.111059571,0.1
15.5,0.01222656,0.1
15.75,0.007681662,0.1
16,0.017340337,0.1
16.25,-0.119197011,0.1
16.5,0.058735459,0.1
16.75,0.113340107,0.1
17,0.0901598,0.1
17.25,-0.187077319,0.1
17.5,-0.15438854,0.1
17.75,-0.174092549,0.1
18,0.0459897,0.1
18.25,0.025140781,0.1
18.5,0.081484112,0.1
18.75,-0.027827396,0.1
19,0.012458047,0.1
19.25,0.155229047,0.1
19.5,0.122620119,0.1
19.75,0.096290426,0.1
20,-0.145731006,0.1
20.25,0.137226883,0.1
20.5,-0.101875346,0.1
20.75,0.04499753,0.1
21,-0.108849631,0.1
21.25,-0.080573469,0.1
21.5,0.054144705,0.1
21.75,-0.136772737,0.1
22,0.062638196,0.1
22.25,-0.047640165,0.1
22.5,0.023959912,0.1
22.75,0.187329433,0.1
23,-0.027107519,0.1
23.25,-0.189003458,0.1
23.5,-0.086936268,0.1
23.75,-0.069901522,0.1
24,-0.05581324,0.1
24.25,-0.3140698,0.1
24.5,0.03058043,0.1
24.75,-0.101270434,0.1
25,-0.187652088,0.1
25.25,-0.10797261,0.1
25.5,-0.025318401,0.1
25.75,0.10074612,0.1
26,-0.178889425,0.1
26.25,-0.108148607,0.1
26.5,0.264858511,0.1
26.75,0.103825697,0.1
27,0.206475673,0.1
27.25,0.017419097,0.1
27.5,-0.087005076,0.1
27.75,-0.033394986,0.1
28,0.08597696,0.1
28.25,0.16813453,0.1
28.5,-0.065408024,0.1
28.75,-0.037863258,0.1
29,-0.062037666,0.1
29.25,-0.160564414,0.1
29.5,-0.039743522,0.1
29.75,-0.032230937,0.1
30,-0.178058346,0.1
30.25,-0.013188525,0.1
30.5,0.164457472,0.1
30.75,0.122662676,0.1
31,-0.072721631,0.1
31.25,-0.232847123,0.1
31.5,0.062469413,0.1
31.75,-0.040797885,0.1
32,0.08844104,0.1
32.25,-0.273183948,0.1
32.5,0.051164882,0.1
32.75,-0.227680637,0.1
33,0.258869181,0.1
33.25,-0.130525158,0.1
33.5,-0.031921109,0.1
33.75,0.116616766,0.1
34,-0.051386209,0.1
34.25,0.156059567,0.1
34.5,-0.073925148,0.1
34.75,0.074348729,0.1
35,-0.035210671,0.1
35.25,0.213839682,0.1
35.5,0.033231751,0.1
35.75,0.003211178,0.1
36,0.014955531,0.1
36.25,0.030241932,0.1
36.5,-0.096472166,0.1
36.75,0.172107191,0.1
37,0.039698666,0.1
37.25,-0.017236689,0.1
37.5,0.116573552,0.1
37.75,0.026282617,0.1
38,-0.293052337,0.1
38.25,0.240439561,0.1
38.5,0.002473281,0.1
38.75,-0.100801705,0.1
39,-0.058288988,0.1
39.25,0.167493296,0.1
39.5,0.172643474,0.1
39.75,-0.027006796,0.1
40,0.011018209,0.1
40.25,0.134899192,0.1
40.5,0.265501498,0.1
40.75,0.178265946,0.1
41,0.167804031,0.1
41.25,0.065782738,0.1
41.5,-0.072193784,0.1
41.75,-0.011152175,0.1
42,-0.090968063,0.1
42.25,-0.100008275,0.1
42.5,-0.001387363,0.1
42.75,-0.123096404,0.1
43,-0.099844957,0.1
43.25,0.108118396,0.1
43.5,0.190714995,0.1
43.75,0.222652265,0.1
44,-0.119339454,0.1
44.25,0.119082296,0.1
44.5,0.111647595,0.1
44.75,-0.065052158,0.1
45,-0.025421705,0.1
45.25,0.208705073,0.1
45.5,0.140269373,0.1
45.75,-0.033375151,0.1
46,0.191017906,0.1
46.25,-0.14138161,0.1
46.5,-0.11680588,0.1
46.75,-0.051015428,0.1
47,-0.009971272,0.1
47.25,0.00372068,0.1
47.5,0.042472245,0.1
47.75,-0.154011498,0.1
48,0.050462379,0.1
48.25,0.144778954,0.1
48.5,0.046725178,0.1
48.75,0.19425296,0.1
49,0.136617594,0.1
49.25,0.094180065,0.1
49.5,0.162290783,0.1
49.75,0.153305425,0.1
50,-0.126817069,0.1
50.25,-0.023916312,0.1
50.5,0.014203003,0.1
50.75,-0.149475403,0.1
51,-0.106272645,0.1
51.25,0.046867026,0.1
51.5,-0.000970719,0.1
51.75,-0.138290621,0.1
52,-0.019695404,0.1
52.25,-0.139990682,0.1
52.5,-0.090449416,0.1
52.75,-0.00095847,0.1
53,0.040439078,0.1
53.25,0.161852668,0.1
53.5,0.296135259,0.1
53.75,0.477811348,0.1
54,0.625604656,0.1
54.25,0.513676144,0.1
54.5,0.886350893,0.1
54.75,0.978808407,0.1
55,1.125645641,0.1
55.25,1.478039225,0.1
55.5,1.476287243,0.1
55.75,1.680347829,0.1
56,1.879928449,0.1
56.25,1.995183874,0.1
56.5,2.445811829,0.1
56.75,2.33152874,0.1
57,2.681185104,0.1
57.25,3.062450856,0.1
57.5,3.242941206,0.1
57.75,3.332798578,0.1
58,3.443811487,0.1
58.25,3.842865817,0.1
58.5,3.986092087,0.1
58.75,4.101276201,0.1
59,4.382130766,0.1
59.25,4.55261495,0.1
59.5,4.687753402,0.1
59.75,4.901106953,0.1
60,4.987028391,0.1
60.25,5.27351169,0.1
60.5,5.325637489,0.1
60.75,5.45900259,0.1
61,5.366920274,0.1
61.25,5.70316047,0.1
61.5,5.430628288,0.1
61.75,5.472052088,0.1
62,5.533747922,0.1
62.25,5.561731072,0.1
62.5,5.385351271,0.1
62.75,5.388454792,0.1
63,5.401463457,0.1
63.25,5.108822129,0.1
63.5,5.058511908,0.1
63.75,4.890013174,0.1
64,4.711416966,0.1
64.25,4.610104872,0.1
64.5,4.64605227,0.1
64.75,4.16003591,0.1
65,4.28505982,0.1
65.25,4.043278734,0.1
65.5,4.076141451,0.1
65.75,3.687118151,0.1
66,3.82217604,0.1
66.25,3.641042016,0.1
66.5,3.64808071,0.1
66.75,3.309490247,0.1
67,3.454317662,0.1
67.25,3.439013791,0.1
67.5,3.445165522,0.1
67.75,3.468418485,0.1
68,3.286586684,0.1
68.25,3.159771841,0.1
68.5,3.295323884,0.1
68.75,3.314137312,0.1
69,3.40844888,0.1
69.25,3.202592305,0.1
69.5,2.918164234,0.1
69.75,3.228421716,0.1
70,3.164994626,0.1
70.25,3.128217406,0.1
70.5,3.222180024,0.1
70.75,3.13059885,0.1
71,2.826498333,0.1
71.25,3.158040183,0.1
71.5,3.263194111,0.1
71.75,3.115358119,0.1
72,2.730442659,0.1
72.25,3.198156131,0.1
72.5,2.879557806,0.1
72.75,2.948270024,0.1
73,2.942817752,0.1
73.25,2.919223335,0.1
73.5,2.874582002,0.1
73.75,2.760075445,0.1
74,3.003934932,0.1
74.25,2.886947323,0.1
74.5,2.704175268,0.1
74.75,2.558329532,0.1
75,2.795083147,0.1
75.25,2.852090687,0.1
75.5,2.599985754,0.1
75.75,2.558458268,0.1
76,2.855857038,0.1
76.25,2.519564138,0.1
76.5,2.515498271,0.1
76.75,2.664116258,0.1
77,2.836228269,0.1
77.25,2.420186624,0.1
77.5,2.593533181,0.1
77.75,2.461251591,0.1
78,2.316933792,0.1
78.25,2.526721299,0.1
78.5,2.543793423,0.1
78.75,2.524241756,0.1
79,2.475327017,0.1
79.25,2.390453283,0.1
79.5,2.420930654,0.1
79.75,2.743604581,0.1
80,2.468071547,0.1
80.25,2.540414987,0.1
80.5,2.568317754,0.1
80.75,2.463866932,0.1
81,2.456657005,0.1
81.25,2.307915124,0.1
81.5,2.372205262,0.1
81.75,2.595464087,0.1
82,2.215139265,0.1
82.25,2.398690359,0.1
82.5,2.438760705,0.1
82.75,2.250648305,0.1
83,2.219583547,0.1
83.25,2.37873227,0.1
83.5,2.47558138,0.1
83.75,2.130536218,0.1
84,2.193423927,0.1
84.25,2.388773692,0.1
84.5,2.182456524,0.1
84.75,2.260429974,0.1
85,2.074484559,0.1
85.25,2.249243354,0.1
85.5,2.113213512,0.1
85.75,2.130384894,0.1
86,2.20475209,0.1
86.25,2.12590793,0.1
86.5,2.119010061,0.1
86.75,2.176255291,0.1
87,1.951050452,0.1
87.25,2.216323718,0.1
87.5,2.243959595,0.1
87.75,1.945673298,0.1
88,1.964392586,0.1
88.25,1.889612453,0.1
88.5,2.11620559,0.1
88.75,2.258018529,0.1
89,2.066997385,0.1
89.25,1.982790953,0.1
89.5,2.109267027,0.1
89.75,2.056846484,0.1
90,1.966291467,0.1
90.25,1.989211699,0.1
90.5,1.985044676,0.1
90.75,2.09067684,0.1
91,1.978073785,0.1
91.25,2.069218784,0.1
91.5,1.977173988,0.1
91.75,1.902336907,0.1
92,1.744118487,0.1
92.25,1.997414454,0.1
92.5,1.925107721,0.1
92.75,1.803167619,0.1
93,1.718522352,0.1
93.25,1.744446904,0.1
93.5,2.005275326,0.1
93.75,1.763119545,0.1
94,1.936049546,0.1
94.25,1.707513272,0.1
94.5,1.697247617,0.1
94.75,1.688309573,0.1
95,2.006969256,0.1
95.25,1.914018908,0.1
95.5,1.711091374,0.1
95.75,1.852699172,0.1
96,1.845887395,0.1
96.25,1.736978235,0.1
96.5,1.997488978,0.1
96.75,1.90006077,0.1
97,1.587044523,0.1
97.25,1.882225792,0.1
97.5,1.558236732,0.1
97.75,1.655252942,0.1
98,1.580377243,0.1
98.25,1.908294708,0.1
98.5,1.747264287,0.1
98.75,1.851669213,0.1
99,1.767331356,0.1
99.25,1.696779706,0.1
99.5,1.746681118,0.1
99.75,1.728898646,0.1
100,1.783353601,0.1
100.25,1.907700397,0.1
100.5,1.685662329,0.1
100.75,1.458072928,0.1
101,1.667411672,0.1
101.25,1.576154486,0.1
101.5,1.385478409,0.1
101.75,1.825011859,0.1
102,1.371002334,0.1
102.25,1.57256169,0.1
102.5,1.423970606,0.1
102.75,1.728049393,0.1
103,1.692978561,0.1
103.25,1.398668285,0.1
103.5,1.559737193,0.1
103.75,1.600288731,0.1
104,1.442809308,0.1
104.25,1.686721461,0.1
104.5,1.434346462,0.1
104.75,1.692324975,0.1
105,1.35226827,0.1
105.25,1.452270335,0.1
105.5,1.439937119,0.1
105.75,1.515116275,0.1
106,1.314059485,0.1
106.25,1.615024153,0.1
106.5,1.7481026,0.1
106.75,1.548955331,0.1
107,1.47816413,0.1
107.25,1.523660854,0.1
107.5,1.575703937,0.1
107.75,1.549291565,0.1
108,1.416177954,0.1
108.25,1.610532497,0.1
108.5,1.619301121,0.1
108.75,1.310636818,0.1
109,1.269317831,0.1
109.25,1.643141077,0.1
109.5,1.477474682,0.1
109.75,1.512715701,0.1
110,1.486907184,0.1
110.25,1.545331544,0.1
110.5,1.314344927,0.1
110.75,1.617368657,0.1
111,1.554452766,0.1
111.25,1.592797454,0.1
111.5,1.404673002,0.1
111.75,1.409660918,0.1
112,1.316213205,0.1
112.25,1.406117478,0.1
112.5,1.591031938,0.1
112.75,1.390198395,0.1
113,1.410310151,0.1
113.25,1.394309807,0.1
113.5,1.275245048,0.1
113.75,1.585510295,0.1
114,1.39646293,0.1
114.25,1.412329695,0.1
114.5,1.525950899,0.1
114.75,1.327738825,0.1
115,1.564234403,0.1
115.25,1.330602225,0.1
115.5,1.207214796,0.1
115.75,1.135977937,0.1
116,1.363289575,0.1
116.25,1.456918092,0.1
116.5,1.333725508,0.1
116.75,1.211254354,0.1
